"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"206","All Transitions","11020_13_15_16_23_24",0.0154808,"Colorado Plateau Pinyon-Juniper Shrubland",1201,4090,0,63.316472
"207","All Transitions","11030_6_7_12_13_16_17_23",0.0196952,"Great Basin Semi-Desert Chaparral",508,12,0,0.2363424
"208","All Transitions","11040_13_14_25",0.0129724,"Mogollon Chaparral",538,358,0,4.6441192
"209","All Transitions","11040_13_14_25",0.0129724,"Mogollon Chaparral",1359,62,0,0.8042888
"210","All Transitions","11040_15",0.013108,"Mogollon Chaparral",1202,4124347,15.4,54061.940476
"211","All Transitions","11040_23_24",0.0416284,"Mogollon Chaparral",1032,4,0,0.1665136
"212","All Transitions","11040_23_24",0.0416284,"Mogollon Chaparral",1131,189,0,7.8677676
"213","All Transitions","11070_15",0.0260746,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",1203,162637,0.6,4240.6947202
"214","All Transitions","11070_23_24",0.025984,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",1033,43,0,1.117312
"215","All Transitions","11070_23_24",0.025984,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",1132,13,0,0.337792
"216","All Transitions","11070_25_28",0.026041,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",1360,2,0,0.052082
"217","All Transitions","11080_4_5_13_14_15_24_25",0.0122214,"Sonora-Mojave Semi-Desert Chaparral",405,77234,0.3,943.9076076
